order,family,genus,species,model,GHMI_estimate,GHMI_se,GHMI_tval,GHMI_pval,adj_r2,dev_exp,dev_exp_diff_comp_null,sample_size,model_weight_comp_null,spatial_pval,delta_AIC
Lepidoptera,Papilionidae,Papilio,Papilio glaucus,duration,-0.8668255723517583,9.926426991340962,-0.087325033781834,0.9304597499732,0.1998546637495483,0.2203600503420042,1.4128988775652385e-4,386,0.26911652250623513,0,1.9982191811027405
Lepidoptera,Papilionidae,Papilio,Papilio glaucus,onset,18.610143796090053,9.303989409799689,2.000232693352853,0.04619821303507301,0.167459031478167,0.19177586625013,0.00798330921198645,386,0.7016284327032758,0,0
Lepidoptera,Papilionidae,Papilio,Papilio glaucus,offset,18.49175438855819,4.426941727121509,4.177094601284015,3.661900802545367e-5,0.12832663694489999,0.1353253509172678,0.020656804039913684,386,0.9996861744516705,7.912003341381535e-7,0
Hymenoptera,Apidae,Bombus,Bombus impatiens,duration,41.90489509306189,11.288067415968051,3.712317932632419,2.4558092637311544e-4,0.09732533026534695,0.12320565539569298,0.035759766877513435,304,0.9953977161153821,0.11963212928336897,0
Hymenoptera,Apidae,Bombus,Bombus impatiens,onset,-6.883755486485369,10.778538503378606,-0.6386538846920303,0.5235422938655812,0.02778268807633677,0.050883164360077934,0.0012669344106480199,304,0.3182357502846208,0.27249697585716237,1.5237829239399616
Hymenoptera,Apidae,Bombus,Bombus impatiens,offset,35.28179636055858,6.715691864255282,5.253635377219776,2.85747319589077e-7,0.12298488953922926,0.1437735545104327,0.06708523176366112,304,0.9999749871207679,0.43987999364016683,0
Hymenoptera,Apidae,Xylocopa,Xylocopa virginica,duration,61.45497377090174,19.010001289341066,3.2327706261313947,0.0014198698288698452,0.20089506881114783,0.22653122148064944,0.04331786333337745,222,0.9932916206311536,7.731509913400103e-7,0
Hymenoptera,Apidae,Xylocopa,Xylocopa virginica,onset,-59.463779752797905,19.703822801939065,-3.0178803550215667,0.0028554291487831807,0.11058926996048224,0.14198968885612193,0.04283593847261136,222,0.9846349755074941,0.006335934171593338,0
Hymenoptera,Apidae,Xylocopa,Xylocopa virginica,offset,4.3088470874429765,12.61182445995269,0.34165136861246326,0.7329458569009264,0.14400914026326428,0.16446832094092964,-8.167274541408531e-4,222,0.27562611504646767,3.983399421758627e-6,1.9325247661154208
Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,duration,-4.253084972359781,12.070435724165524,-0.3523555461916693,0.7249392715858612,0.28700748042681945,0.3243581908953558,0.002330584482493736,214,0.28067086997576657,0,1.8822726243406578
Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,onset,27.848801946827997,11.978067597559622,2.3249828672282526,0.02106361089033564,0.1266454653518977,0.16977662622819784,0.035358490573217216,214,0.8679950247454357,0.006718389428949645,0
Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,offset,23.9618785524906,6.074104955075664,3.9449233639710974,1.0936532016355273e-4,0.4575986130480726,0.4742428078694919,0.03577263073182363,214,0.9985766488339674,0,0
Hymenoptera,Apidae,Apis,Apis mellifera,duration,52.658773478277716,24.872025107335812,2.1171888196086783,0.03570698606668406,0.3121277140990657,0.35762725052551725,0.0071989304242289776,182,0.682794879747463,0,0
Hymenoptera,Apidae,Apis,Apis mellifera,onset,-60.469297187087726,20.26870444473147,-2.9833824530805555,0.003279040170501189,0.39206178790289326,0.43991725477216714,0.0092992999790657,182,0.8058860525915988,0,0
Hymenoptera,Apidae,Apis,Apis mellifera,offset,-14.746907966374646,18.642088082277322,-0.7910545160654107,0.4300051725511612,0.10483635783564382,0.15211288224147862,-0.0011709332647878157,182,0.283269696627087,0.040417542120221306,1.8566003769308281
Lepidoptera,Hesperiidae,Epargyreus,Epargyreus clarus,duration,13.627933304028764,12.13755817576707,1.122790359203984,0.2635493293304651,0.1355355759506498,0.154616655272112,0.007972027466767867,137,0.3948330714780544,1.0618303620524294e-4,0.8540825263194165
Lepidoptera,Hesperiidae,Epargyreus,Epargyreus clarus,onset,13.087737639592868,10.742726248052062,1.2182882945533513,0.22527116846860493,0.12393621796451693,0.14326468852385843,0.009554152061156979,137,0.42170748178390655,3.660710924058286e-5,0.631535849958027
Lepidoptera,Hesperiidae,Epargyreus,Epargyreus clarus,offset,25.013222015162306,7.367169369818027,3.395228310840388,9.118909576385185e-4,0.16250007785181808,0.20631269238740266,0.06587210905719573,137,0.9858542992955315,0.28620950744269763,0
Lepidoptera,Attevidae,Atteva,Atteva punctella,duration,-25.521297161176843,22.78988273718446,-1.1198520613507041,0.26557075241202993,-0.012994692932828622,0.01770757762946102,0.012831893165487817,100,0.3870564833317441,0.6183279774923112,0.919404310166442
Lepidoptera,Attevidae,Atteva,Atteva punctella,onset,8.735937999384111,18.09784302128061,0.48270603237699833,0.630440089820242,0.031033475891397266,0.09080643557220192,0.004014299539144048,100,0.2558188878911311,0.660212892698006,2.1356294210654596
Lepidoptera,Attevidae,Atteva,Atteva punctella,offset,-16.42334738101631,14.273825504949855,-1.1505918560739758,0.2528768157456097,0.09589197250976156,0.15834413924413088,0.006233449220711951,100,0.3690884965472962,0.16208548230334474,1.0722583225674498
Lepidoptera,Nymphalidae,Dione,Dione vanillae,duration,4.431321168444217,16.084880975016926,0.27549604969579544,0.7835505378690125,0.12928165174633954,0.18762605982146244,0.0025166762623509698,100,0.2358654340323369,0.05480263561562637,2.3509649189957145
Lepidoptera,Nymphalidae,Dione,Dione vanillae,onset,-7.176490240329055,13.2528223427754,-0.5415065602415793,0.589449308557527,0.15062419039330222,0.19956677601001163,-0.0017980766657674507,100,0.24929751785439228,0.01465223455338771,2.2047247539910586
